serial_number,asset_tag
3CM41727BG,IT00753
3CM417291Y,IT00754
3CM4300RBV,IT00755
3CM4180YZ8,IT00756
3CM4060FNZ,IT00757
3CM4300RCC,IT00758
3CM4300RCV,IT00759
3CM4300RFK,IT00760
3CM41728GR,IT00761
